synid,class_name,urls,flickr_urls
n02606052,rock beauty,562,169
n02606384,damselfish,1348,604
n02606751,beaugregory,26,5
n02607072,anemone fish,1319,1209
n02607201,clown anemone fish,1212,697
n02607470,sergeant major,1057,647
n02607862,wrasse,1249,1211
n02608284,pigfish,2,0
n02608547,hogfish,219,89
n02608860,slippery dick,48,18
n02608996,puddingwife,48,7
n02609302,bluehead,161,48
n02609823,pearly razorfish,22,3
n02610066,tautog,927,104
n02610373,cunner,114,3
n02610664,parrotfish,1207,1135
n02610980,threadfin,83,5
n02611561,jawfish,683,272
n02611898,stargazer,79,59
n02612167,sand stargazer,83,8
n02613181,blenny,636,356
n02613572,shanny,6,2
n02613820,Molly Miller,6,2
n02614140,clinid,1,0
n02614482,pikeblenny,31,7
n02614653,bluethroat pikeblenny,2,0
n02614978,gunnel,266,165
n02615298,rock gunnel,2,0
n02616128,eelblenny,7,3
n02616397,wrymouth,18,2
n02616851,wolffish,930,559
n02617537,viviparous eelpout,43,1
n02618094,ocean pout,15,2
n02618513,sand lance,2,0
n02618827,dragonet,889,552
n02619165,goby,1241,946
n02619550,mudskipper,1146,676
n02619861,sleeper,364,27
n02620167,flathead,1045,420
n02620578,archerfish,379,53
n02621258,surgeonfish,410,331
n02621908,gempylid,5,0
n02622249,snake mackerel,2,0
n02622547,escolar,1,0
n02622712,oilfish,57,8
n02622955,cutlassfish,118,6
n02623445,scombroid,6,0
n02624167,mackerel,1069,679
n02624551,common mackerel,453,32
n02624807,Spanish mackerel,1201,183
n02624987,chub mackerel,475,4
n02625258,wahoo,1130,445
n02625612,Spanish mackerel,1094,163
n02625851,king mackerel,1155,198
n02626089,Scomberomorus maculatus,11,0
n02626265,cero,1139,391
n02626471,sierra,1,0
n02626762,tuna,1298,855
n02627037,albacore,3,1
n02627292,bluefin,1059,478
n02627532,yellowfin,1187,607
n02627835,bonito,498,143
n02628062,skipjack,990,133
n02628259,Chile bonito,149,5
n02628600,skipjack,327,31
n02629230,bonito,1033,296
n02629716,swordfish,248,45
n02630281,sailfish,1187,505
n02630615,Atlantic sailfish,538,6
n02630739,billfish,587,125
n02631041,marlin,895,454
n02631330,blue marlin,759,347
n02631475,black marlin,965,171
n02631628,striped marlin,286,35
n02631775,white marlin,427,66
n02632039,spearfish,133,21
n02632494,louvar,3,0
n02633422,dollarfish,18,0
n02633677,palometa,150,39
n02633977,harvestfish,14,2
n02634545,driftfish,40,1
n02635154,barrelfish,36,1
n02635580,clingfish,85,11
n02636170,tripletail,199,18
n02636405,Atlantic tripletail,34,1
n02636550,Pacific tripletail,150,1
n02636854,mojarra,324,116
n02637179,yellowfin mojarra,99,6
n02637475,silver jenny,3,0
n02637977,whiting,190,58
n02638596,ganoid,14,0
n02639087,bowfin,780,251
n02639605,paddlefish,948,202
n02639922,Chinese paddlefish,3,0
n02640242,sturgeon,981,449
n02640626,Pacific sturgeon,687,38
n02640857,beluga,1379,1366
n02641379,gar,1019,479
n02642107,scorpaenoid,6,0
n02642644,scorpaenid,9,0
n02643112,scorpionfish,1225,1207
n02643316,plumed scorpionfish,59,2
n02643566,lionfish,1513,1401
n02643836,stonefish,1189,776
n02644113,rockfish,957,586
n02644360,copper rockfish,234,87
n02644501,vermillion rockfish,342,33
n02644665,red rockfish,200,15
n02644817,rosefish,93,7
n02645538,bullhead,210,121
n02645691,miller's-thumb,12,1
n02645953,sea raven,105,16
n02646667,lumpfish,73,18
n02646892,lumpsucker,163,47
n02648035,pogge,35,1
n02648625,greenling,404,177
n02648916,kelp greenling,81,31
n02649218,painted greenling,291,171
n02649546,flathead,1026,341
n02650050,gurnard,768,447
n02650413,tub gurnard,230,11
n02650541,sea robin,261,105
n02651060,northern sea robin,47,1
n02652132,flying gurnard,675,314
n02652668,plectognath,4,0
n02653145,triggerfish,1155,636
n02653497,queen triggerfish,615,147
n02653786,filefish,377,84
n02654112,leatherjacket,629,334
n02654425,boxfish,1158,653
n02654745,cowfish,1092,614
n02655020,puffer,1127,790
n02655523,spiny puffer,33,5
n02655848,porcupinefish,1122,761
n02656032,balloonfish,1005,260
n02656301,burrfish,385,178
n02656670,ocean sunfish,1013,662
n02656969,sharptail mola,24,1
n02657368,flatfish,764,292
n02657694,flounder,1156,664
n02658079,righteye flounder,62,0
n02658531,plaice,838,216
n02658811,European flatfish,433,21
n02659176,yellowtail flounder,12,0
n02659478,winter flounder,164,5
n02659808,lemon sole,364,29
n02660091,American plaice,85,0
n02660208,halibut,1200,597
n02660519,Atlantic halibut,411,287
n02660640,Pacific halibut,503,43
n02661017,lefteye flounder,4,0
n02661473,southern flounder,128,4
n02661618,summer flounder,287,23
n02662239,whiff,5,0
n02662397,horned whiff,2,0
n02662559,sand dab,72,12
n02662825,windowpane,5,0
n02662993,brill,272,11
n02663211,turbot,502,118
n02663485,tonguefish,139,4
n02663849,sole,2,2
n02664285,European sole,349,123
n02664642,English sole,1,0
n02665250,hogchoker,3,3
n02665985,aba,1,1
n02666196,abacus,1628,846
n02666501,abandoned ship,539,468
n02666624,A battery,547,283
n02666943,abattoir,982,563
n02667093,abaya,1257,718
n02667244,Abbe condenser,535,0
n02667379,abbey,1232,973
n02667478,abbey,1262,889
n02667576,abbey,880,597
n02667693,Abney level,90,2
n02668393,abrader,3,0
n02668613,abrading stone,27,2
n02669295,abutment,1446,580
n02669442,abutment arch,340,83
n02669534,academic costume,1439,681
n02669723,academic gown,953,244
n02670186,accelerator,746,175
n02670382,accelerator,899,290
n02670683,accelerator,841,26
n02670935,accelerometer,484,194
n02671780,accessory,383,180
n02672152,accommodating lens implant,36,0
n02672371,accommodation,1400,707
n02672831,accordion,1235,836
n02675077,acetate disk,432,43
n02675219,acetate rayon,1039,63
n02675522,achromatic lens,363,4
n02676097,acoustic delay line,17,0
n02676261,acoustic device,130,4
n02676566,acoustic guitar,2017,1141
n02676670,acoustic modem,300,3
n02676938,acropolis,1262,1047
n02677028,acrylic,2,2
n02677136,acrylic,3,0
n02677436,actinometer,20,0
n02677718,action,447,104
n02678010,active matrix screen,308,2
n02678384,actuator,67,2
n02678897,adapter,1374,400
n02679142,adder,21,0
n02679257,adding machine,1438,529
n02679961,addressing machine,293,3
n02680110,adhesive bandage,626,11
n02680512,adit,1230,842
n02680638,adjoining room,159,3
n02680754,adjustable wrench,1071,122
n02681392,adobe,1123,674
n02682311,adz,477,27
n02682407,aeolian harp,116,8
n02682569,aerator,679,94
n02682811,aerial torpedo,299,3
n02682922,aerosol,1295,611
n02683183,Aertex,364,2
n02683323,afghan,1321,1285
n02683454,Afro-wig,1108,434
n02683558,afterburner,1042,899
n02683791,after-shave,1446,526
n02684248,agateware,311,44
n02684356,agglomerator,98,0
n02684515,aglet,117,0
n02684649,aglet,192,15
n02684962,agora,337,245
n02685082,aigrette,1492,1045
n02685253,aileron,249,75
n02685365,air bag,225,44
n02685701,airbrake,1,0
n02685995,airbrush,453,75
n02686121,airbus,1453,1058
n02686227,air compressor,1508,351
n02686379,air conditioner,1727,605
n02686568,aircraft,1510,929
n02687172,aircraft carrier,1321,656
n02687423,aircraft engine,1114,839
n02687682,air cushion,417,67
n02687821,airdock,1142,799
n02687992,airfield,1261,1011
n02688273,air filter,1201,559
n02688443,airfoil,1010,589
n02689144,airframe,1348,564
n02689274,air gun,1156,570
n02689434,air hammer,508,85
n02689748,air horn,614,143
n02689819,airing cupboard,9,8
n02690373,airliner,1227,1052
n02690715,airmailer,13,0
n02691156,airplane,1434,613
n02692086,airplane propeller,1728,1084
n02692232,airport,1245,1205
n02692513,air pump,195,29
n02692680,air search radar,83,10
n02692877,airship,1247,662
n02693246,air terminal,1213,1000
n02693413,air-to-air missile,285,80
n02693540,air-to-ground missile,58,7
n02694045,aisle,1246,725
n02694279,Aladdin's lamp,331,88
n02694426,alarm,1188,595
n02694662,alarm clock,1442,805
n02694966,alb,212,3
n02695627,alcazar,1195,797
n02695762,alcohol thermometer,53,0
n02696165,alehouse,1011,793
n02696246,alembic,197,13
n02696569,algometer,34,0
n02696843,alidade,151,15
n02697022,alidade,321,10
n02697221,A-line,570,381
n02697576,Allen screw,298,5
n02697675,Allen wrench,1166,74
n02697876,alligator wrench,16,0
n02698244,alms dish,143,3
n02698473,alpaca,253,85
n02698634,alpenstock,965,80
n02699494,altar,1191,876
n02699629,altar,1181,595
n02699770,altarpiece,1688,840
n02699915,altazimuth,951,1
n02700064,alternator,1640,473
n02700258,altimeter,545,92
n02700895,Amati,732,20
n02701002,ambulance,1510,851
n02701260,amen corner,313,139
n02701730,American organ,224,20
n02702989,ammeter,1153,53
n02703124,ammonia clock,30,0
n02703275,ammunition,1219,808
n02704645,amphibian,782,140
n02704792,amphibian,1267,689
n02704949,amphitheater,1240,321
n02705201,amphitheater,1202,773
n02705429,amphora,1709,585
n02705944,amplifier,1229,546
n02706221,ampulla,88,10
n02706806,amusement arcade,445,346
n02708093,analog clock,1077,437
n02708224,analog computer,195,99
n02708433,analog watch,1270,297
n02708555,analytical balance,1047,8
n02708711,analyzer,1213,168
n02708885,anamorphosis,7,0
n02709101,anastigmat,1076,436
n02709367,anchor,1195,895
n02709637,anchor chain,1055,728
n02709763,anchor light,438,49
n02709908,AND circuit,509,210
n02710044,andiron,656,23
n02710201,android,1764,842
n02710324,anechoic chamber,938,103
n02710429,anemometer,1209,518
n02710600,aneroid barometer,895,11
n02711237,angiocardiogram,99,0
n02711780,angioscope,2,0
n02712545,angle bracket,203,44
n02712643,angledozer,148,3
n02713003,ankle brace,1308,175
n02713218,anklet,11,6
n02713364,anklet,831,638
n02713496,ankus,18,1
n02714315,anode,41,11
n02714535,anode,300,38
n02714751,answering machine,1399,238
n02715229,antenna,1595,834
n02715513,anteroom,1026,587
n02715712,antiaircraft,1132,627
n02716626,antiballistic missile,262,2
n02720048,antifouling paint,571,5
n02720576,anti-G suit,42,4
n02721813,antimacassar,135,28
n02723165,antiperspirant,1312,67
n02724722,anti-submarine rocket,66,1
n02725872,anvil,984,505
n02726017,ao dai,1224,1152
n02726210,apadana,499,232
n02726305,apartment,1017,849
n02726681,apartment building,1416,1379
n02727016,aperture,1049,551
n02727141,aperture,1121,617
n02727426,apiary,926,756
n02727825,apparatus,164,81
n02728440,apparel,1255,844
n02729222,applecart,5,1
n02729837,appliance,1303,848
n02729965,appliance,1307,661
n02730265,applicator,249,6
n02730568,appointment,244,3
n02730930,apron,1064,836
n02731251,apron string,92,30
n02731398,apse,1140,884
n02731629,aqualung,1209,973
n02731900,aquaplane,505,189
n02732072,aquarium,1411,1131
n02732572,arabesque,1120,793
n02732827,arbor,1722,714
n02733213,arcade,1026,709
n02733524,arch,1284,1179
n02734725,architecture,1298,1215
n02734835,architrave,490,129
n02735268,arch support,206,21
n02735361,arc lamp,572,105
n02735538,arctic,1318,614
n02735688,area,648,353
n02736396,areaway,252,250
n02736798,argyle,1257,732
n02737351,ark,119,93
n02737660,arm,1517,348
n02738031,armament,1334,838
n02738271,armature,346,18
n02738449,armband,200,94
n02738535,armchair,1592,692
n02738741,armet,600,125
n02738859,arm guard,916,38
n02738978,armhole,260,254
n02739123,armilla,6,1
n02739427,armlet,1554,1546
n02739550,armoire,2021,747
n02739668,armor,1271,996
n02739889,armored car,1058,418
n02740061,armored car,37,16
n02740300,armored personnel carrier,1594,615
n02740533,armored vehicle,1221,674
n02740764,armor plate,753,294
n02741367,armory,65,21
n02741475,armrest,1401,655
n02742070,arquebus,86,10
n02742194,array,27,9
n02742322,array,1231,1065
n02742468,arrester,531,34
n02742753,arrow,672,493
n02743426,arsenal,4,0
n02744323,arterial road,1210,801
n02744844,arthrogram,929,15
n02744961,arthroscope,129,0
n02745492,artificial heart,162,4
n02745611,artificial horizon,962,93
n02745816,artificial joint,1,0
n02746008,artificial kidney,51,1
n02746225,artificial skin,23,0
n02746365,artillery,1167,660
n02746595,artillery shell,488,204
n02746683,artist's loft,71,9
n02746978,art school,171,131
n02747063,ascot,17,4
n02747177,ashcan,1315,885
n02747672,ash-pan,533,7
n02747802,ashtray,1250,594
n02748183,aspergill,7,0
n02748359,aspersorium,34,0
n02748491,aspirator,185,8
n02749169,aspirin powder,167,1
n02749292,assault gun,23,8
n02749479,assault rifle,1172,608
n02749670,assegai,120,0
n02749790,assembly,80,5
n02749953,assembly,1334,988
n02750070,assembly hall,1504,539
n02750169,assembly plant,603,235
n02750320,astatic coils,41,0
n02750652,astatic galvanometer,24,0
n02751067,astrodome,335,175
n02751215,astrolabe,1112,307
n02751295,astronomical telescope,1391,312
n02751490,astronomy satellite,10,2
n02752199,athenaeum,259,105
n02752496,athletic sock,1142,165
n02752615,athletic supporter,1082,294
n02752810,atlas,629,512
n02752917,atmometer,12,0
n02753044,atom bomb,1007,188
n02753394,atomic clock,1224,275
n02753710,atomic pile,193,16
n02754103,atomizer,1169,581
n02754656,atrium,1259,1147
n02755140,attache case,1279,112
n02755352,attachment,91,59
n02755529,attack submarine,1014,228
n02755675,attenuator,280,3
n02755823,attic,909,423
n02755984,attic fan,431,61
n02756098,attire,1209,596
n02756854,audio amplifier,392,187
n02756977,audiocassette,726,65
n02757061,audio CD,861,277
n02757337,audiometer,577,4
n02757462,audio system,1239,593
n02757714,audiotape,637,36
n02757810,audiotape,553,77
n02757927,audiovisual,313,149
n02758134,auditorium,1232,600
n02758490,auger,165,94
n02758863,autobahn,1239,798
n02758960,autoclave,1277,331
n02759257,autofocus,1250,407
n02759387,autogiro,1333,420
n02759700,autoinjector,154,7
n02759963,autoloader,940,21
n02760099,automat,1145,690
n02760199,automat,1037,580
n02760298,automatic choke,15,1
n02760429,automatic firearm,1275,539
n02760658,automatic pistol,1535,430
n02760855,automatic rifle,1264,599
n02761034,automatic transmission,386,9
n02761206,automation,1406,380
n02761392,automaton,2017,808
n02761557,automobile engine,1328,766
n02761696,automobile factory,699,293
n02761834,automobile horn,1227,392
n02762169,autopilot,310,99
n02762371,autoradiograph,533,4
n02762508,autostrada,1230,775
n02762725,auxiliary boiler,264,4
n02762909,auxiliary engine,335,95
n02763083,auxiliary pump,96,0
n02763198,auxiliary research submarine,17,0
n02763306,auxiliary storage,983,151
n02763604,aviary,1145,588
n02763714,awl,290,34
n02763901,awning,1257,728
n02764044,ax,1254,512
n02764398,ax handle,1207,129
n02764505,ax head,1119,210
n02764614,axis,50,28
n02764779,axle,1230,603
n02764935,axle bar,619,141
n02765028,axletree,172,2
n02766168,babushka,162,104
n02766320,baby bed,1372,558
n02766534,baby buggy,1291,596
n02766792,baby grand,1268,321
n02767038,baby powder,579,157
n02767147,baby shoe,507,269
n02767433,back,1777,588
n02767665,back,906,761
n02767956,backbench,576,6
n02768114,backboard,1359,688
n02768226,backboard,1168,616
n02768433,backbone,113,9
n02768655,back brace,794,71
n02768973,backgammon board,954,220
n02769075,background,891,694
n02769290,backhoe,2025,838
n02769669,backlighting,705,636
n02769748,backpack,1396,785
n02769963,backpacking tent,1650,639
n02770078,backplate,69,20
n02770211,back porch,1160,669
n02770585,backsaw,371,2
n02770721,backscratcher,588,77
n02770830,backseat,1219,617
n02771004,backspace key,901,79
n02771166,backstairs,601,210
n02771286,backstay,703,20
n02771547,backstop,229,59
n02771750,backsword,661,36
n02772101,backup system,636,156
n02772435,badminton court,748,343
n02772554,badminton equipment,364,15
n02772700,badminton racket,1402,521
n02773037,bag,1278,695
n02773838,bag,1108,647
n02774152,bag,1500,723
n02774630,baggage,1358,799
n02774921,baggage,1802,699
n02775039,baggage car,918,269
n02775178,baggage claim,885,691
n02775483,bagpipe,1117,207
n02775689,bailey,370,285
n02775813,bailey,49,14
n02775897,Bailey bridge,547,183
n02776007,bain-marie,493,45
n02776205,bait,1346,686
n02776505,baize,135,44
n02776631,bakery,1214,1022
n02776825,balaclava,1258,611
n02776978,balalaika,646,114
n02777100,balance,1414,514
n02777292,balance beam,1215,601
n02777402,balance wheel,323,118
n02777638,balbriggan,3,0
n02777734,balcony,1204,778
n02777927,balcony,277,275
n02778131,baldachin,17,2
n02778294,baldric,515,60
n02778456,bale,1200,1072
n02778588,baling wire,171,2
n02778669,ball,1244,644
n02779435,ball,1469,835
n02779609,ball and chain,262,153
n02779719,ball-and-socket joint,99,2
n02779971,ballast,64,4
n02780315,ball bearing,108,40
n02780445,ball cartridge,97,5
n02780588,ballcock,1,0
n02780704,balldress,1518,537
n02780815,ballet skirt,1400,611
n02781121,ball gown,1293,692
n02781213,ballistic galvanometer,124,0
n02781338,ballistic missile,727,112
n02781517,ballistic pendulum,331,0
n02781764,ballistocardiograph,169,0
n02782093,balloon,1240,758
n02782432,balloon bomb,65,13
n02782602,balloon sail,855,410
n02782681,ballot box,1199,371
n02782778,ballpark,1858,1055
n02783035,ball-peen hammer,278,1
n02783161,ballpoint,1336,664
n02783324,ballroom,739,537
n02783459,ball valve,831,1
n02783900,balsa raft,726,498
n02783994,baluster,1666,595
n02784124,banana boat,1304,798
n02784998,band,89,0
n02785648,bandage,1071,56
n02786058,Band Aid,1297,793
n02786198,bandanna,1300,884
n02786331,bandbox,816,36
n02786463,banderilla,293,50
n02786611,bandoleer,382,50
n02786736,bandoneon,704,124
n02786837,bandsaw,1299,499
n02787120,bandwagon,37,21
n02787269,bangalore torpedo,76,1
n02787435,bangle,1380,1372
n02787622,banjo,1734,974
n02788021,banner,1275,1114
n02788148,bannister,1599,1375
n02788386,banquette,180,74
n02788462,banyan,11,8
n02788572,baptismal font,1240,640
n02788689,bar,2,0
n02789487,bar,1186,678
n02790669,barbecue,1785,787
n02790823,barbed wire,1324,987
n02790996,barbell,1841,827
n02791124,barber chair,1095,569
n02791270,barbershop,1573,1532
n02791532,barbette carriage,365,162
n02791665,barbican,470,211
n02791795,bar bit,1,0
n02792409,bareboat,919,168
n02792552,barge,890,588
n02792948,barge pole,98,8
n02793089,baritone,1669,533
n02793199,bark,1154,642
n02793296,bar magnet,101,5
n02793414,bar mask,297,133
n02793495,barn,1495,1453
n02793684,barndoor,244,79
n02793842,barn door,976,624
n02793930,barnyard,407,296
n02794008,barograph,478,12
n02794156,barometer,1019,571
n02794368,barong,13,0
n02794474,barouche,370,271
n02794664,bar printer,964,30
n02794779,barrack,3,3
n02794972,barrage balloon,180,37
n02795169,barrel,1171,719
n02795528,barrel,1280,642
n02795670,barrelhouse,712,624
n02795783,barrel knot,25,1
n02795978,barrel organ,291,117
n02796207,barrel vault,1364,656
n02796318,barrette,1300,932
n02796412,barricade,284,147
n02796623,barrier,339,31
n02796995,barroom,543,334
n02797295,barrow,1337,1022
n02797535,bascule,677,527
n02797692,base,1523,515
n02797881,base,1,0
n02799071,baseball,974,571
n02799175,baseball bat,1476,988
n02799323,baseball cap,1283,784
n02799897,baseball equipment,742,102
n02800213,baseball glove,1270,712
n02800497,basement,1004,636
n02800675,basement,588,149
n02800940,basic point defense missile system,143,2
n02801047,basilica,50,46
n02801184,basilica,627,414
n02801450,basilisk,833,629
n02801525,basin,1465,299
n02801823,basinet,768,54
n02801938,basket,1252,698
n02802215,basket,1256,1012
n02802426,basketball,1124,826
n02802544,basketball court,1351,1075
n02802721,basketball equipment,943,86
n02802990,basket weave,851,350
n02803349,bass,1171,636
n02803539,bass clarinet,718,375
n02803666,bass drum,1288,506
n02803809,basset horn,122,2
n02803934,bass fiddle,1129,789
n02804123,bass guitar,1232,760
n02804252,bass horn,1822,810
n02804414,bassinet,1225,818
n02804515,bassinet,1158,718
n02804610,bassoon,1348,687
n02805283,baster,386,139
n02805845,bastinado,174,79
n02805983,bastion,1212,991
n02806088,bastion,1117,948
n02806379,bat,1537,757
n02806530,bath,681,416
n02806762,bath chair,241,4
n02806875,bathhouse,10,4
n02806992,bathhouse,8,3
n02807133,bathing cap,1083,683
n02807523,bath oil,1285,522
n02807616,bathrobe,1223,586
n02807731,bathroom,1304,752
n02808185,bath salts,1319,597
n02808304,bath towel,1292,700
n02808440,bathtub,1192,643
n02808829,bathyscaphe,253,10
n02808968,bathysphere,134,56
n02809105,batik,1272,949
n02809241,batiste,456,90
n02809364,baton,278,117
n02809491,baton,35,24
n02809605,baton,395,44
n02809736,baton,216,36
n02810139,battering ram,1,0
n02810270,batter's box,458,201
n02810471,battery,1719,534
n02810782,battery,992,537
n02811059,batting cage,1284,828
n02811204,batting glove,1796,534
n02811350,batting helmet,1619,521
n02811468,battle-ax,866,92
n02811618,battle cruiser,577,60
n02811719,battle dress,1291,614
n02811936,battlement,1128,898
n02812201,battleship,1185,757
n02812342,battle sight,87,6
n02812631,bay,178,148
n02812785,bay,5,5
n02812949,bayonet,1691,570
n02813252,bay rum,745,106
n02813399,bay window,1757,703
n02813544,bazaar,1186,994
n02813645,bazaar,1182,839
n02813752,bazooka,877,121
n02813981,B battery,365,98
n02814116,BB gun,479,387
n02814338,beach house,328,198
n02814428,beach towel,520,110
n02814533,beach wagon,1366,958
n02814774,beachwear,1237,920
n02814860,beacon,1826,1088
n02815478,beading plane,62,0
n02815749,beaker,922,210
n02815834,beaker,982,254
n02815950,beam,1177,671
n02816494,beam balance,6,0
n02816656,beanbag,1155,646
n02816768,beanie,1220,631
n02817031,bearing,1206,73
n02817251,bearing rein,159,8
n02817386,bearing wall,56,34
n02817516,bearskin,702,371
n02817650,beater,226,164
n02817799,beating-reed instrument,422,29
n02818135,beaver,893,116
n02818254,beaver,1,0
n02818687,Beckman thermometer,1,0
n02818832,bed,1741,674
n02819697,bed,4,1
n02820085,bed and breakfast,66,20
n02820210,bedclothes,1783,771
n02820556,Bedford cord,1118,5
n02820675,bed jacket,762,165
n02821202,bedpan,694,134
n02821415,bedpost,451,108
n02821543,bedroll,71,9
n02821627,bedroom,1337,559
n02821943,bedroom furniture,1176,545
n02822064,bedsitting room,1199,49
n02822220,bedspread,1232,1002
n02822399,bedspring,7,0
n02822579,bedstead,1473,408
n02822762,beefcake,400,221
n02822865,beehive,42,22
n02823124,beeper,992,372
n02823335,beer barrel,1170,883
n02823428,beer bottle,1316,1280
n02823510,beer can,1189,719
n02823586,beer garden,552,440
n02823750,beer glass,1292,927
n02823848,beer hall,702,562
n02823964,beer mat,1069,946
n02824058,beer mug,1452,769
n02824152,belaying pin,173,67
n02824319,belfry,1154,709
n02824448,bell,1227,892
n02825153,bell arch,648,536
n02825240,bellarmine,10,0
n02825442,bellbottom trousers,1149,113
n02825657,bell cote,1119,833
n02825872,bell foundry,131,47
n02825961,bell gable,961,668
n02826068,bell jar,948,378
n02826259,bellows,60,31
n02826459,bellpull,2,1
n02826589,bell push,1248,318
n02826683,bell seat,1,0
n02826812,bell tent,414,134
n02826886,bell tower,1708,745
n02827148,bellyband,261,14
n02827606,belt,1839,518
n02828115,belt,39,27
n02828299,belt buckle,535,520
n02828427,belting,1191,724
n02828884,bench,1355,1025
n02829246,bench clamp,362,23
n02829353,bench hook,14,2
n02829510,bench lathe,138,12
n02829596,bench press,925,102
n02830157,bender,29,0
n02831237,beret,1361,1009
n02831335,berlin,1177,842
n02831595,Bermuda shorts,1606,528
n02831724,berth,1231,661
n02831894,besom,882,162
n02831998,Bessemer converter,37,11
n02833040,bethel,126,77
n02833140,betting shop,62,45
n02833275,bevatron,10,3
n02833403,bevel,236,3
n02833793,bevel gear,1170,14
n02834027,B-flat clarinet,288,10
n02834397,bib,1660,1328
n02834506,bib-and-tucker,447,201
n02834642,bicorn,236,24
n02834778,bicycle,1344,1009
n02835271,bicycle-built-for-two,1214,814
n02835412,bicycle chain,1125,905
n02835551,bicycle clip,24,2
n02835724,bicycle pump,961,106
n02835829,bicycle rack,1213,721
n02835915,bicycle seat,1361,1323
n02836035,bicycle wheel,1817,1043
n02836174,bidet,1382,1302
n02836268,bier,307,279
n02836392,bier,1172,828
n02836513,bi-fold door,219,12
n02836607,bifocals,140,28
n02836900,Big Blue,31,4
n02837134,big board,2,0
n02837567,bight,19,14
n02837789,bikini,1571,1028
n02837887,bikini pants,1019,105
n02838014,bilge,76,35
n02838178,bilge keel,62,5
n02838345,bilge pump,508,19
n02838577,bilge well,3,0
n02838728,bill,1297,89
n02838958,bill,178,1
n02839110,billboard,1346,1305
n02839351,billiard ball,1573,1538
n02839592,billiard room,1180,590
n02839910,bin,1207,689
n02840134,binder,1428,474
n02840245,binder,1151,544
n02840515,bindery,210,143
n02840619,binding,1221,1176
n02841063,bin liner,168,24
n02841187,binnacle,551,59
n02841315,binoculars,1375,804
n02841506,binocular microscope,1306,9
n02841641,biochip,22,0
n02841847,biohazard suit,195,25
n02842133,bioscope,79,2
n02842573,biplane,1386,1010
n02842809,birch,497,494
n02843029,birchbark canoe,711,100
n02843158,birdbath,1446,1044
n02843276,birdcage,1273,792
n02843465,birdcall,242,6
n02843553,bird feeder,1311,1283
n02843684,birdhouse,1344,1261
n02843777,bird shot,1,0
n02843909,biretta,282,35
n02844056,bishop,3,0
n02844214,bistro,287,209
n02844307,bit,1281,482
n02844714,bit,173,47
n02845130,bite plate,148,5
n02845293,bitewing,305,12
n02845985,bitumastic,6,0
n02846141,black,1210,606
n02846260,black,2,2
n02846511,blackboard,1367,1330
n02846619,blackboard eraser,267,10
n02846733,black box,599,117
n02846874,blackface,203,100
n02847461,blackjack,298,201
n02847631,black tie,1109,472
n02847852,blackwash,635,3
n02848118,bladder,21,6
n02848216,blade,1648,606
n02848523,blade,1356,1121
n02848806,blade,3,0
n02848921,blank,499,8
n02849154,blanket,1394,654
n02849885,blast furnace,861,663
n02850060,blasting cap,9,1
n02850358,blazer,13,5
n02850732,blender,1264,503
n02850950,blimp,1110,605
n02851099,blind,1096,564
n02851795,blind curve,418,203
n02851939,blindfold,1183,684
n02852043,bling,1236,831
n02852173,blinker,1634,518
n02852360,blister pack,1339,389
n02853016,block,1144,831
n02853218,blockade,143,27
n02853336,blockade-runner,5,0
n02853745,block and tackle,387,212
n02853870,blockbuster,3,1
n02854378,blockhouse,470,290
n02854532,block plane,764,31
n02854630,bloodmobile,331,75
n02854739,bloomers,1172,554
n02854926,blouse,1202,645
n02855089,blower,1654,549
n02855390,blowtorch,1312,280
n02855701,blucher,1133,165
n02855793,bludgeon,4,0
n02855925,blue,1149,752
n02856013,blue chip,268,19
n02856237,blunderbuss,521,44
n02856362,blunt file,3,0
n02857365,boarding,1,1
n02857477,boarding house,930,620
n02857644,boardroom,1316,708
n02857907,boards,183,12
n02858304,boat,1204,631
n02859184,boater,1319,1288
n02859343,boat hook,624,309
n02859443,boathouse,938,606
n02859557,boatswain's chair,335,50
n02859729,boat train,60,21
n02859955,boatyard,648,403
n02860415,bobbin,1318,1211
n02860640,bobby pin,1276,1092
n02860847,bobsled,1275,659
n02861022,bobsled,1116,468
n02861147,bocce ball,1089,723
n02861286,bodega,157,87
n02861387,bodice,1220,858
n02861509,bodkin,124,2
n02861658,bodkin,156,8
n02861777,bodkin,212,20
n02861886,body,1464,163
n02862048,body armor,1215,836
n02862916,body lotion,1292,917
n02863014,body stocking,902,126
n02863176,body plethysmograph,67,1
n02863340,body pad,9,1
n02863426,bodywork,1200,645
n02863536,Bofors gun,655,91
n02863638,bogy,3,1
n02863750,boiler,1202,602
n02864122,boiling water reactor,337,5
n02864504,bolero,869,582
n02864593,bollard,1210,1187
n02864987,bolo,285,3
n02865351,bolo tie,777,175
n02865665,bolt,1177,569
n02865931,bolt,1347,226
n02866106,bolt,254,46
n02866386,bolt cutter,941,69
n02866578,bomb,449,167
n02867401,bombazine,110,13
n02867592,bomb calorimeter,169,95
n02867715,bomber,1265,672
n02867966,bomber jacket,1693,538
n02868240,bomblet,130,10
n02868429,bomb rack,113,31
n02868546,bombshell,72,10
n02868638,bomb shelter,985,626
n02868975,bone-ash cup,762,16
n02869155,bone china,1316,526
n02869249,bones,1153,143
n02869563,boneshaker,487,311
n02869737,bongo,1370,501
n02869837,bonnet,1094,835
n02870526,book,1363,900
n02870676,book bag,1383,619
n02870772,bookbindery,232,38
